"","detected_language","is_climate_post","bank_country","n"
"1","DE",0,"DE",21949
"2","DE",0,"AT",3630
"3","DE",0,"LT",652
"4","DE",0,"CH",597
"5","EN",0,"DE",124
"6","DE",1,"AT",12
"7","FR",0,"CH",11
"8","MK",0,"DE",10
"9","NL",0,"DE",10
"10","ES",0,"LT",9
"11","DE",0,"HR",8
"12","DE",1,"CH",8
"13","EN",0,"LT",7
"14","BG",0,"DE",5
"15","DE",1,"DE",3
"16","IT",0,"DE",3
"17","RU",0,"DE",3
"18","DE",1,"LT",2
"19","EN",0,"AT",2
"20","ES",0,"DE",2
"21","IT",0,"LT",2
"22","MK",0,"RS",2
"23","NL",0,"LT",2
"24","RU",0,"RS",2
"25","SO",0,"DE",2
"26","DA",0,"DE",1
"27","DE",0,"LU",1
"28","ET",0,"DE",1
"29","HR",0,"RS",1
"30","IT",0,"CH",1
"31","RO",0,"DE",1
